id,nombre,dia,horario,numero,ubicacion,barrio,comuna,productos,calle,altura,calle2,direccion,observacio
200,FIAB 25,LUNES,de 8:00 a 14:00hs,25,Echeverría 4300 - entre Donado y Gral. Mariano Acha - Plaza Brig. Gral. J. M. Zapiola,Villa Urquiza,12,NA,Echeverria,4300,NA,ECHEVERRIA 4300,Plaza Brig. Gral. J. M. Zapiola
201,FIAB 20,LUNES,de 8:00 a 14:00hs,20,Crisóstomo Álvarez 2900 - entre Lafuente y San Pedrito -,Flores,7,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Crisóstomo Álvarez,2900,NA,"ALVAREZ, CRISOSTOMO 2900",NA
202,FIAB 2,DOMINGO,de 8:00 a 14:00hs,2,Conde 200 entre Santos Dumont y Concepción Arenal,Colegiales,13,"Frutihorticolas, pescadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos",Conde,200,NA,CONDE 200,Plaza Mafalda
203,FIAB 10,DOMINGO,de 8:00 a 14:00hs,10,Giordano Bruno 700 entre Neuquén y Bogotá,Caballito,6,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Giordano Bruno,NA,Neuquen,"BRUNO, GIORDANO y NEUQUEN",NA
204,FIAB 3,DOMINGO,de 8:00 a 14:00hs,3,Av. Alte. Brown 350 al 490 entre Gualeguay y 20 de Septiembre,Boca,4,"Pescaderia, especies y legumbres, granja y carne, fiambre y lácteos, limpieza",Av. Alte. Brown,350,NA,"BROWN, ALTE. AV. 350",NA
205,FIAB 12,MIERCOLES,de 8:00 a 14:00hs,12,Medrano 1400 entre El Salvador y Costa Rica,Palermo,14,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",Medrano,NA,El Salvador,"MEDRANO y EL SALVADOR, CABA",Plaza Unidad Latinoamericana
211,FIAB 38,MIERCOLES,de 15:00 a 20:00hs,38,Somellera - entre Murguiondo y Cafayate,Villa Lugano,8,NA,Somellera,NA,Murguiondo,"SOMELLERA y MURGUIONDO, CABA",Plaza Unidad Nacional
212,FIAB 1,SABADO,de 10:00 a 18:00hs,1,Isabel La Católica 500,Barracas,4,NA,Isabel La Católica,500,NA,"ISABEL LA CATOLICA 500, CABA",NA
214,FIAB 24,LUNES,de 8:00 a 14:00hs,24,Ayacucho 700 entre Viamonte y Av. Córdoba,Balvanera,3,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Ayacucho,700,NA,"AYACUCHO 700, CABA",NA
228,FIAB 36,DOMINGO,de 13:00 a 20:00hs,36,Enrique Martínez y Concepción Arenal,Colegiales,13,NA,Enrique Martínez,NA,Concepción Arenal,"MARTINEZ, ENRIQUE, GRAL. y ARENAL, CONCEPCION, CABA",Mercado de las Pulgas - Feria Vegana
