id,idecaba,nombre,linea,ramal,barrio,comuna,localidad,partido,geometry
172,117,Las Malvinas,"Sarmiento , F.C.D.F.S.",,,,General Rodríguez,General Rodríguez,POINT (-58.92156810146368 -34.61621160000952)
173,118,Lezica y Torrezuri,"Sarmiento , F.C.D.F.S.",,,,,,POINT (-59.05671794127745 -34.58460156677709)
174,135,Libertad,"Belgrano Sur , F.C.G.B.",,,,Libertad,Libertad,POINT (-58.686500019008726 -34.692144102771934)
175,197,Libertador,"Tren De La Costa , T.d.l.C.",,,,Olivos,Olivos,POINT (-58.48186135251807 -34.50159737107447)
176,149,Llavallol,"Roca , F.C.G.R.",,,,Llavallol,Llavallol,POINT (-58.42922128522252 -34.797105069988326)
177,200,Lobos,"Sarmiento , F.C.D.F.S.",,,,,,POINT (-59.09277155022261 -35.18476325841433)
178,9,Lomas de Zamora,"Roca , F.C.G.R.",,,,Lomas de Zamora,Lomas de Zamora,POINT (-58.39719262063138 -34.76097756420045)
179,243,Longchamps,"Roca , F.C.G.R.",,,,Longchamps,Longchamps,POINT (-58.38727167964141 -34.859334411912776)
180,292,López Camelo,"Mitre , F.C.G.B.M.",,,,General Pacheco,General Pacheco,POINT (-58.67736571655547 -34.446921127083336)
181,248,Los Cardales,"Mitre , F.C.G.B.M.",,,,,,POINT (-58.98741081934489 -34.33090711336983)
182,43,Los Polvorines,"Belgrano Norte , F.C.G.B.",,,,Los Polvorines,Los Polvorines,POINT (-58.69453144962468 -34.49902676885959)
183,89,Lourdes,"Urquiza , F.C.G.U.",,,,Santos Lugares,Santos Lugares,POINT (-58.54697566320891 -34.59378531032301)
184,178,Luis Guillón,"Roca , F.C.G.R.",,,,Luis Guillón,Luis Guillón,POINT (-58.44857585514457 -34.80328512663782)
185,207,Luján,"Sarmiento , F.C.D.F.S.",,,,,,POINT (-59.10509616492056 -34.57769608634658)
186,273,Malaver,"Mitre , F.C.G.B.M.",,,,General San Martín,General San Martín,POINT (-58.54785855428555 -34.55743352238509)
187,44,Manuel Alberti,"Belgrano Norte , F.C.G.B.",,,,Manuel Alberti,Manuel Alberti,POINT (-58.77624800130559 -34.4625593071142)
188,172,Manuel B. Gonnet,"Roca , F.C.G.R.",,,,Manuel B. Gonnet,Manuel B. Gonnet,POINT (-58.01063688734762 -34.87990843645811)
189,64,Manzanares,"San Martin , F.C.G.S.M.",,,,Manzanares,Manzanares,POINT (-59.0064325864769 -34.45207993867713)
190,11,Manzone,"Urquiza , F.C.G.U.",,,,Villa Astolfi,Villa Astolfi,POINT (-58.87530185651132 -34.486118690218326)
191,296,Maquinista Savio,"Mitre , F.C.G.B.M.",,,,Maquinista Savio,Maquinista Savio,POINT (-58.7720226555289 -34.40687113480071)
192,212,Marcos Paz (Belgrano),"Belgrano Sur , F.C.G.B.",,,,Marcos Paz,Marcos Paz,POINT (-58.829671439599224 -34.7865231155745)
193,230,Marcos Paz (Sarmiento),"Sarmiento , F.C.D.F.S.",,,,Marcos Paz,Marcos Paz,POINT (-58.83669698356406 -34.783242437375335)
194,138,María Eva Duarte,"Belgrano Sur , F.C.G.B.",,,,Gregorio de Laferrere,Gregorio de Laferrere,POINT (-58.60086727662504 -34.75615592830822)
195,4,Mariano Acosta,"Sarmiento , F.C.D.F.S.",,,,Mariano Acosta,Mariano Acosta,POINT (-58.79300020267282 -34.724389905688675)
196,228,Marina Nueva,"Tren De La Costa , T.d.l.C.",,,,Victoria,Victoria,POINT (-58.53899838459101 -34.44457189494086)
197,123,Marinos de Fournier,"Belgrano Sur , F.C.G.B.",,,,Villa Madero,Villa Madero,POINT (-58.50746304328061 -34.69012130342082)
